17 September 2020 
TITLE  INFO  !!!!! 
 
     x    yyy   CCCC         DDDD
 24.47  -0.62    0.79    0.97541049
 24.48  -0.61    0.79    0.97315780
 24.49  -0.60    0.80    0.97080779
 24.50  -0.59    0.81    0.96836070
 24.51  -0.58    0.81    0.96581678
 24.52  -0.58    0.82    0.96317627
 24.53  -0.57    0.82    0.96043945
 24.54  -0.56    0.83    0.95760659
 24.55  -0.55    0.83    0.95467796
 24.56  -0.54    0.84    0.95165387
 24.57  -0.53    0.85    0.94853462
 24.58  -0.53    0.85    0.94532051
 24.59  -0.52    0.86    0.94201187
 24.60  -0.51    0.86    0.93860903
 24.61  -0.50    0.87    0.93511233
 24.62  -0.49    0.87    0.93152212
 24.63  -0.48    0.88    0.92783876
 24.64  -0.47    0.88    0.92406261
 24.65  -0.46    0.89    0.92019406
 24.66  -0.46    0.89    0.91623349
 24.67  -0.45    0.89    0.91218130
 24.68  -0.44    0.90    0.90803789
 24.69  -0.43    0.90    0.90380368
 24.70  -0.42    0.91    0.89947909
 24.71  -0.41    0.91    0.89506455
 24.72  -0.40    0.92    0.89056051
 24.73  -0.39    0.92    0.88596741
 24.74  -0.38    0.92    0.88128571
 24.75  -0.37    0.93    0.87651589
 24.76  -0.36    0.93    0.87165841
 24.77  -0.35    0.93    0.86671377
 24.78  -0.35    0.94    0.86168246
 24.79  -0.34    0.94    0.85656498
 24.80  -0.33    0.95    0.85136185
 24.81  -0.32    0.95    0.84607358
 24.82  -0.31    0.95    0.84070071
 24.83  -0.30    0.95    0.83524376
 24.84  -0.29    0.96    0.82970329
 24.85  -0.28    0.96    0.82407985
 24.86  -0.27    0.96    0.81837401
 24.87  -0.26    0.97    0.81258633
 24.88  -0.25    0.97    0.80671739
 24.89  -0.24    0.97    0.80076777
 24.90  -0.23    0.97    0.79473809
 24.91  -0.22    0.98    0.78862893
 24.92  -0.21    0.98    0.78244090
 24.93  -0.20    0.98    0.77617464
 24.94  -0.19    0.98    0.76983075
 24.95  -0.18    0.98    0.76340989
 24.96  -0.17    0.99    0.75691268
 24.97  -0.16    0.99    0.75033978
 24.98  -0.15    0.99    0.74369185
 24.99  -0.14    0.99    0.73696956
 25.00  -0.13    0.99    0.73017356
 25.01  -0.12    0.99    0.72330455
 25.02  -0.11    0.99    0.71636321
 25.03  -0.10    0.99    0.70935023
 25.04  -0.09    1.00    0.70226632
 25.05  -0.08    1.00    0.69511218
 25.06  -0.07    1.00    0.68788853
 25.07  -0.06    1.00    0.68059610
 25.08  -0.05    1.00    0.67323560
 25.09  -0.04    1.00    0.66580778
 25.10  -0.03    1.00    0.65831338
 25.11  -0.02    1.00    0.65075315
 25.12  -0.01    1.00    0.64312785
 25.13  -0.00    1.00    0.63543823
 25.14   0.01    1.00    0.62768507
 25.15   0.02    1.00    0.61986914
 25.16   0.03    1.00    0.61199123
 25.17   0.04    1.00    0.60405212
 25.18   0.05    1.00    0.59605260
 25.19   0.06    1.00    0.58799348
 25.20   0.07    1.00    0.57987556
 25.21   0.08    1.00    0.57169965
 25.22   0.09    1.00    0.56346657
 25.23   0.10    1.00    0.55517715
 25.24   0.11    0.99    0.54683220
 25.25   0.12    0.99    0.53843258
 25.26   0.13    0.99    0.52997911
 25.27   0.14    0.99    0.52147265
 25.28   0.15    0.99    0.51291404
 25.29   0.16    0.99    0.50430414
 25.30   0.17    0.99    0.49564380
 25.31   0.18    0.98    0.48693391
 25.32   0.19    0.98    0.47817532
 25.33   0.20    0.98    0.46936891
 25.34   0.21    0.98    0.46051557
 25.35   0.22    0.98    0.45161617
 25.36   0.23    0.97    0.44267162
 25.37   0.24    0.97    0.43368280
 25.38   0.24    0.97    0.42465061
 25.39   0.25    0.97    0.41557595
 25.40   0.26    0.96    0.40645974
 25.41   0.27    0.96    0.39730288
 25.42   0.28    0.96    0.38810630
 25.43   0.29    0.96    0.37887090
 25.44   0.30    0.95    0.36959761
 25.45   0.31    0.95    0.36028737
 25.46   0.32    0.95    0.35094110
 25.47   0.33    0.94    0.34155973
 25.48   0.34    0.94    0.33214421
 25.49   0.35    0.94    0.32269547
 25.50   0.36    0.93    0.31321447
 25.51   0.37    0.93    0.30370214
 25.52   0.38    0.93    0.29415945
 25.53   0.39    0.92    0.28458733
 25.54   0.40    0.92    0.27498676
 25.55   0.41    0.91    0.26535869
 25.56   0.41    0.91    0.25570409
 25.57   0.42    0.91    0.24602391
 25.58   0.43    0.90    0.23631914
 25.59   0.44    0.90    0.22659073
 25.60   0.45    0.89    0.21683966
 25.61   0.46    0.89    0.20706691
 25.62   0.47    0.88    0.19727345
 25.63   0.48    0.88    0.18746027
 25.64   0.49    0.87    0.17762833
 25.65   0.49    0.87    0.16777864
 25.66   0.50    0.86    0.15791217
 25.67   0.51    0.86    0.14802991
 25.68   0.52    0.85    0.13813284
 25.69   0.53    0.85    0.12822196
 25.70   0.54    0.84    0.11829826
 25.71   0.55    0.84    0.10836273
 25.72   0.55    0.83    0.09841636
 25.73   0.56    0.83    0.08846016
 25.74   0.57    0.82    0.07849510
 25.75   0.58    0.82    0.06852220
 25.76   0.59    0.81    0.05854244
 25.77   0.59    0.80    0.04855683
 25.78   0.60    0.80    0.03856637
 25.79   0.61    0.79    0.02857205
 25.80   0.62    0.79    0.01857487
 25.81   0.63    0.78    0.00857583
 25.82   0.63    0.77   -0.00142407
 25.83   0.64    0.77   -0.01142382
 25.84   0.65    0.76   -0.02142243
 25.85   0.66    0.75   -0.03141889
 25.86   0.66    0.75   -0.04141222
 25.87   0.67    0.74   -0.05140140
 25.88   0.68    0.73   -0.06138545
 25.89   0.69    0.73   -0.07136335
 25.90   0.69    0.72   -0.08133412
 25.91   0.70    0.71   -0.09129676
 25.92   0.71    0.71   -0.10125027
 25.93   0.72    0.70   -0.11119365
 25.94   0.72    0.69   -0.12112591
 25.95   0.73    0.68   -0.13104606
 25.96   0.74    0.68   -0.14095311
 25.97   0.74    0.67   -0.15084606
 25.98   0.75    0.66   -0.16072392
 25.99   0.76    0.65   -0.17058571
 26.00   0.76    0.65   -0.18043045
 26.01   0.77    0.64   -0.19025714
 26.02   0.78    0.63   -0.20006481
 26.03   0.78    0.62   -0.20985247
 26.04   0.79    0.62   -0.21961914
 26.05   0.79    0.61   -0.22936386
 26.06   0.80    0.60   -0.23908563
 26.07   0.81    0.59   -0.24878350
 26.08   0.81    0.58   -0.25845649
 26.09   0.82    0.58   -0.26810364
 26.10   0.82    0.57   -0.27772397
 26.11   0.83    0.56   -0.28731654
 26.12   0.83    0.55   -0.29688037
 26.13   0.84    0.54   -0.30641451
 26.14   0.85    0.53   -0.31591801
 26.15   0.85    0.53   -0.32538993
 26.16   0.86    0.52   -0.33482930
 26.17   0.86    0.51   -0.34423519
 26.18   0.87    0.50   -0.35360665
 26.19   0.87    0.49   -0.36294276
 26.20   0.88    0.48   -0.37224257
 26.21   0.88    0.47   -0.38150516
 26.22   0.89    0.46   -0.39072960
 26.23   0.89    0.46   -0.39991496
 26.24   0.89    0.45   -0.40906034
 26.25   0.90    0.44   -0.41816481
 26.26   0.90    0.43   -0.42722746
 26.27   0.91    0.42   -0.43624739
 26.28   0.91    0.41   -0.44522369
 26.29   0.92    0.40   -0.45415548
 26.30   0.92    0.39   -0.46304185
 26.31   0.92    0.38   -0.47188191
 26.32   0.93    0.37   -0.48067479
 26.33   0.93    0.36   -0.48941960
 26.34   0.93    0.36   -0.49811546
 26.35   0.94    0.35   -0.50676152
 26.36   0.94    0.34   -0.51535690
 26.37   0.94    0.33   -0.52390075
 26.38   0.95    0.32   -0.53239221
 26.39   0.95    0.31   -0.54083042
 26.40   0.95    0.30   -0.54921456
 26.41   0.96    0.29   -0.55754377
 26.42   0.96    0.28   -0.56581723
 26.43   0.96    0.27   -0.57403411
 26.44   0.97    0.26   -0.58219359
 26.45   0.97    0.25   -0.59029484
 26.46   0.97    0.24   -0.59833707
 26.47   0.97    0.23   -0.60631947
 26.48   0.98    0.22   -0.61424123
 26.49   0.98    0.21   -0.62210157
 26.50   0.98    0.20   -0.62989970
 26.51   0.98    0.19   -0.63763484
 26.52   0.98    0.18   -0.64530622
 26.53   0.98    0.17   -0.65291307
 26.54   0.99    0.16   -0.66045462
 26.55   0.99    0.15   -0.66793014
 26.56   0.99    0.14   -0.67533886
 26.57   0.99    0.13   -0.68268004
 26.58   0.99    0.12   -0.68995296
 26.59   0.99    0.11   -0.69715688
 26.60   0.99    0.10   -0.70429109
 26.61   1.00    0.09   -0.71135487
 26.62   1.00    0.08   -0.71834752
 26.63   1.00    0.07   -0.72526833
 26.64   1.00    0.06   -0.73211662
 26.65   1.00    0.05   -0.73889169
 26.66   1.00    0.04   -0.74559288
 26.67   1.00    0.03   -0.75221950
 26.68   1.00    0.02   -0.75877091
 26.69   1.00    0.01   -0.76524644
 26.70   1.00    0.00   -0.77164544
 26.71   1.00   -0.01   -0.77796728
 26.72   1.00   -0.02   -0.78421133
 26.73   1.00   -0.03   -0.79037695
 26.74   1.00   -0.04   -0.79646354
 26.75   1.00   -0.05   -0.80247048
 26.76   1.00   -0.06   -0.80839718
 26.77   1.00   -0.07   -0.81424303
 26.78   1.00   -0.08   -0.82000747
 26.79   1.00   -0.09   -0.82568990
 26.80   1.00   -0.10   -0.83128976
 26.81   0.99   -0.11   -0.83680650
 26.82   0.99   -0.12   -0.84223956
 26.83   0.99   -0.13   -0.84758839
 26.84   0.99   -0.14   -0.85285247
 26.85   0.99   -0.15   -0.85803126
 26.86   0.99   -0.16   -0.86312424
 26.87   0.99   -0.17   -0.86813092
 26.88   0.98   -0.18   -0.87305078
 26.89   0.98   -0.19   -0.87788334
 26.90   0.98   -0.20   -0.88262811
 26.91   0.98   -0.20   -0.88728462
 26.92   0.98   -0.21   -0.89185241
 26.93   0.97   -0.22   -0.89633100
 26.94   0.97   -0.23   -0.90071997
 26.95   0.97   -0.24   -0.90501886
 26.96   0.97   -0.25   -0.90922726
 26.97   0.96   -0.26   -0.91334473
 26.98   0.96   -0.27   -0.91737086
 26.99   0.96   -0.28   -0.92130527
 27.00   0.96   -0.29   -0.92514754
 27.01   0.95   -0.30   -0.92889729
 27.02   0.95   -0.31   -0.93255416
 27.03   0.95   -0.32   -0.93611778
 27.04   0.94   -0.33   -0.93958778
 27.05   0.94   -0.34   -0.94296382
 27.06   0.94   -0.35   -0.94624557
 27.07   0.93   -0.36   -0.94943270
 27.08   0.93   -0.37   -0.95252488
 27.09   0.93   -0.38   -0.95552181
 27.10   0.92   -0.39   -0.95842319
 27.11   0.92   -0.40   -0.96122873
 27.12   0.91   -0.40   -0.96393814
 27.13   0.91   -0.41   -0.96655117
 27.14   0.91   -0.42   -0.96906754
 27.15   0.90   -0.43   -0.97148700
 27.16   0.90   -0.44   -0.97380931
 27.17   0.89   -0.45   -0.97603425
 27.18   0.89   -0.46   -0.97816158
 27.19   0.88   -0.47   -0.98019110
 27.20   0.88   -0.48   -0.98212260
 27.21   0.87   -0.49   -0.98395588
 27.22   0.87   -0.49   -0.98569078
 27.23   0.86   -0.50   -0.98732710
 27.24   0.86   -0.51   -0.98886469
 27.25   0.85   -0.52   -0.99030340
 27.26   0.85   -0.53   -0.99164307
 27.27   0.84   -0.54   -0.99288359
 27.28   0.84   -0.55   -0.99402481
 27.29   0.83   -0.55   -0.99506664
 27.30   0.83   -0.56   -0.99600896
 27.31   0.82   -0.57   -0.99685168
 27.32   0.82   -0.58   -0.99759471
 27.33   0.81   -0.59   -0.99823798
 27.34   0.80   -0.59   -0.99878144
 27.35   0.80   -0.60   -0.99922501
 27.36   0.79   -0.61   -0.99956867
 27.37   0.79   -0.62   -0.99981236
 27.38   0.78   -0.63   -0.99995608
 27.39   0.77   -0.63   -0.99999980
 27.40   0.77   -0.64   -0.99994353
 27.41   0.76   -0.65   -0.99978726
 27.42   0.75   -0.66   -0.99953101
 27.43   0.75   -0.66   -0.99917481
 27.44   0.74   -0.67   -0.99871869
 27.45   0.73   -0.68   -0.99816270
 27.46   0.73   -0.69   -0.99750690
 27.47   0.72   -0.69   -0.99675134
 27.48   0.71   -0.70   -0.99589612
 27.49   0.71   -0.71   -0.99494130
 27.50   0.70   -0.71   -0.99388699
 27.51   0.69   -0.72   -0.99273329
 27.52   0.68   -0.73   -0.99148032
 27.53   0.68   -0.74   -0.99012820
 27.54   0.67   -0.74   -0.98867708
 27.55   0.66   -0.75   -0.98712708
 27.56   0.66   -0.76   -0.98547837
 27.57   0.65   -0.76   -0.98373112
 27.58   0.64   -0.77   -0.98188549
 27.59   0.63   -0.77   -0.97994167
 27.60   0.62   -0.78   -0.97789986
 27.61   0.62   -0.79   -0.97576027
 27.62   0.61   -0.79   -0.97352309
 27.63   0.60   -0.80   -0.97118857
 27.64   0.59   -0.81   -0.96875693
 27.65   0.58   -0.81   -0.96622841
 27.66   0.58   -0.82   -0.96360327
 27.67   0.57   -0.82   -0.96088177
 27.68   0.56   -0.83   -0.95806418
 27.69   0.55   -0.83   -0.95515079
 27.70   0.54   -0.84   -0.95214189
 27.71   0.53   -0.84   -0.94903777
 27.72   0.53   -0.85   -0.94583874
 27.73   0.52   -0.86   -0.94254514
 27.74   0.51   -0.86   -0.93915728
 27.75   0.50   -0.87   -0.93567550
 27.76   0.49   -0.87   -0.93210016
 27.77   0.48   -0.88   -0.92843161
 27.78   0.47   -0.88   -0.92467022
 27.79   0.47   -0.88   -0.92081636
 27.80   0.46   -0.89   -0.91687042
 27.81   0.45   -0.89   -0.91283279
 27.82   0.44   -0.90   -0.90870388
 27.83   0.43   -0.90   -0.90448411
 27.84   0.42   -0.91   -0.90017388
 27.85   0.41   -0.91   -0.89577364
 27.86   0.40   -0.92   -0.89128382
 27.87   0.39   -0.92   -0.88670487
 27.88   0.38   -0.92   -0.88203725
 27.89   0.37   -0.93   -0.87728144
 27.90   0.37   -0.93   -0.87243789
 27.91   0.36   -0.93   -0.86750710
 27.92   0.35   -0.94   -0.86248956
 27.93   0.34   -0.94   -0.85738577
 27.94   0.33   -0.94   -0.85219624
 27.95   0.32   -0.95   -0.84692150
 27.96   0.31   -0.95   -0.84156206
 27.97   0.30   -0.95   -0.83611847
 27.98   0.29   -0.96   -0.83059127
 27.99   0.28   -0.96   -0.82498100
 28.00   0.27   -0.96   -0.81928825
 28.01   0.26   -0.97   -0.81351356
 28.02   0.25   -0.97   -0.80765752
 28.03   0.24   -0.97   -0.80172072
 28.04   0.23   -0.97   -0.79570374
 28.05   0.22   -0.97   -0.78960720
 28.06   0.21   -0.98   -0.78343169
 28.07   0.20   -0.98   -0.77717785
 28.08   0.19   -0.98   -0.77084628
 28.09   0.18   -0.98   -0.76443764
 28.10   0.17   -0.98   -0.75795255
 28.11   0.16   -0.99   -0.75139166
 28.12   0.15   -0.99   -0.74475564
 28.13   0.14   -0.99   -0.73804514
 28.14   0.13   -0.99   -0.73126083
 28.15   0.12   -0.99   -0.72440341
 28.16   0.11   -0.99   -0.71747354
 28.17   0.10   -0.99   -0.71047192
 28.18   0.09   -1.00   -0.70339926
 28.19   0.08   -1.00   -0.69625626
 28.20   0.07   -1.00   -0.68904363
 28.21   0.06   -1.00   -0.68176210
 28.22   0.05   -1.00   -0.67441240
 28.23   0.04   -1.00   -0.66699525
 28.24   0.03   -1.00   -0.65951141
 28.25   0.02   -1.00   -0.65196161
 28.26   0.01   -1.00   -0.64434662
 28.27   0.00   -1.00   -0.63666720
 28.28  -0.01   -1.00   -0.62892410
 28.29  -0.02   -1.00   -0.62111812
 28.30  -0.03   -1.00   -0.61325003
 28.31  -0.04   -1.00   -0.60532061
 28.32  -0.05   -1.00   -0.59733066
 28.33  -0.06   -1.00   -0.58928097
 28.34  -0.07   -1.00   -0.58117236
 28.35  -0.08   -1.00   -0.57300563
 28.36  -0.09   -1.00   -0.56478161
 28.37  -0.10   -1.00   -0.55650110
 28.38  -0.11   -0.99   -0.54816495
 28.39  -0.12   -0.99   -0.53977398
 28.40  -0.13   -0.99   -0.53132903
 28.41  -0.14   -0.99   -0.52283095
 28.42  -0.15   -0.99   -0.51428058
 28.43  -0.16   -0.99   -0.50567879
 28.44  -0.16   -0.99   -0.49702643
 28.45  -0.17   -0.98   -0.48832437
 28.46  -0.18   -0.98   -0.47957348
 28.47  -0.19   -0.98   -0.47077463
 28.48  -0.20   -0.98   -0.46192871
 28.49  -0.21   -0.98   -0.45303659
 28.50  -0.22   -0.97   -0.44409916
 28.51  -0.23   -0.97   -0.43511733
 28.52  -0.24   -0.97   -0.42609199
 28.53  -0.25   -0.97   -0.41702404
 28.54  -0.26   -0.96   -0.40791438
 28.55  -0.27   -0.96   -0.39876394
 28.56  -0.28   -0.96   -0.38957362
 28.57  -0.29   -0.96   -0.38034434
 28.58  -0.30   -0.95   -0.37107703
 28.59  -0.31   -0.95   -0.36177261
 28.60  -0.32   -0.95   -0.35243201
 28.61  -0.33   -0.94   -0.34305617
 28.62  -0.34   -0.94   -0.33364602
 28.63  -0.35   -0.94   -0.32420252
 28.64  -0.36   -0.93   -0.31472659
 28.65  -0.37   -0.93   -0.30521918
 28.66  -0.38   -0.93   -0.29568126
 28.67  -0.39   -0.92   -0.28611377
 28.68  -0.39   -0.92   -0.27651767
 28.69  -0.40   -0.91   -0.26689391
 28.70  -0.41   -0.91   -0.25724347
 28.71  -0.42   -0.91   -0.24756730
 28.72  -0.43   -0.90   -0.23786638
 28.73  -0.44   -0.90   -0.22814167
 28.74  -0.45   -0.89   -0.21839414
 28.75  -0.46   -0.89   -0.20862478
 28.76  -0.47   -0.88   -0.19883456
 28.77  -0.48   -0.88   -0.18902445
 28.78  -0.48   -0.87   -0.17919544
 28.79  -0.49   -0.87   -0.16934850
 28.80  -0.50   -0.86   -0.15948464
 28.81  -0.51   -0.86   -0.14960483
 28.82  -0.52   -0.85   -0.13971005
 28.83  -0.53   -0.85   -0.12980131
 28.84  -0.54   -0.84   -0.11987958
 28.85  -0.54   -0.84   -0.10994587
 28.86  -0.55   -0.83   -0.10000116
 28.87  -0.56   -0.83   -0.09004645
 28.88  -0.57   -0.82   -0.08008274
 28.89  -0.58   -0.82   -0.07011102
 28.90  -0.59   -0.81   -0.06013229
 28.91  -0.59   -0.80   -0.05014755
 28.92  -0.60   -0.80   -0.04015779
 28.93  -0.61   -0.79   -0.03016401
 28.94  -0.62   -0.79   -0.02016722
 28.95  -0.63   -0.78   -0.01016841
 28.96  -0.63   -0.77   -0.00016859
 28.97  -0.64   -0.77    0.00983125
 28.98  -0.65   -0.76    0.01983011
 28.99  -0.66   -0.75    0.02982699
 29.00  -0.66   -0.75    0.03982088
 29.01  -0.67   -0.74    0.04981079
 29.02  -0.68   -0.73    0.05979572
 29.03  -0.69   -0.73    0.06977467
 29.04  -0.69   -0.72    0.07974664
 29.05  -0.70   -0.71    0.08971064
 29.06  -0.71   -0.71    0.09966567
 29.07  -0.71   -0.70    0.10961073
 29.08  -0.72   -0.69    0.11954483
 29.09  -0.73   -0.69    0.12946698
 29.10  -0.73   -0.68    0.13937617
 29.11  -0.74   -0.67    0.14927144
 29.12  -0.75   -0.66    0.15915177
 29.13  -0.76   -0.66    0.16901619
 29.14  -0.76   -0.65    0.17886371
 29.15  -0.77   -0.64    0.18869334
 29.16  -0.77   -0.63    0.19850410
 29.17  -0.78   -0.62    0.20829501
 29.18  -0.79   -0.62    0.21806510
 29.19  -0.79   -0.61    0.22781337
 29.20  -0.80   -0.60    0.23753887
 29.21  -0.80   -0.59    0.24724061
 29.22  -0.81   -0.59    0.25691763
 29.23  -0.82   -0.58    0.26656895
 29.24  -0.82   -0.57    0.27619362
 29.25  -0.83   -0.56    0.28579067
 29.26  -0.83   -0.55    0.29535914
 29.27  -0.84   -0.54    0.30489808
 29.28  -0.84   -0.54    0.31440653
 29.29  -0.85   -0.53    0.32388353
 29.30  -0.86   -0.52    0.33332815
 29.31  -0.86   -0.51    0.34273944
 29.32  -0.87   -0.50    0.35211645
 29.33  -0.87   -0.49    0.36145825
 29.34  -0.88   -0.48    0.37076390
 29.35  -0.88   -0.48    0.38003248
 29.36  -0.88   -0.47    0.38926306
 29.37  -0.89   -0.46    0.39845471
 29.38  -0.89   -0.45    0.40760651
 29.39  -0.90   -0.44    0.41671756
 29.40  -0.90   -0.43    0.42578693
 29.41  -0.91   -0.42    0.43481372
 29.42  -0.91   -0.41    0.44379704
 29.43  -0.92   -0.40    0.45273597
 29.44  -0.92   -0.39    0.46162963
 29.45  -0.92   -0.38    0.47047713
 29.46  -0.93   -0.38    0.47927758
 29.47  -0.93   -0.37    0.48803011
 29.48  -0.93   -0.36    0.49673383
 29.49  -0.94   -0.35    0.50538788
 29.50  -0.94   -0.34    0.51399138
 29.51  -0.94   -0.33    0.52254350
 29.52  -0.95   -0.32    0.53104335
 29.53  -0.95   -0.31    0.53949011
 29.54  -0.95   -0.30    0.54788291
 29.55  -0.96   -0.29    0.55622093
 29.56  -0.96   -0.28    0.56450332
 29.57  -0.96   -0.27    0.57272927
 29.58  -0.97   -0.26    0.58089794
 29.59  -0.97   -0.25    0.58900853
 29.60  -0.97   -0.24    0.59706021
 29.61  -0.97   -0.23    0.60505219
 29.62  -0.97   -0.22    0.61298366
 29.63  -0.98   -0.21    0.62085384
 29.64  -0.98   -0.20    0.62866193
 29.65  -0.98   -0.19    0.63640715
 29.66  -0.98   -0.18    0.64408873
 29.67  -0.98   -0.17    0.65170591
 29.68  -0.99   -0.16    0.65925792
 29.69  -0.99   -0.15    0.66674400
 29.70  -0.99   -0.14    0.67416341
 29.71  -0.99   -0.13    0.68151540
 29.72  -0.99   -0.12    0.68879924
 29.73  -0.99   -0.11    0.69601420
 29.74  -0.99   -0.10    0.70315956
 29.75  -1.00   -0.09    0.71023460
 29.76  -1.00   -0.09    0.71723862
 29.77  -1.00   -0.08    0.72417092
 29.78  -1.00   -0.07    0.73103080
 29.79  -1.00   -0.06    0.73781758
 29.80  -1.00   -0.05    0.74453058
 29.81  -1.00   -0.04    0.75116913
 29.82  -1.00   -0.03    0.75773256
 29.83  -1.00   -0.02    0.76422022
 29.84  -1.00   -0.01    0.77063145
 29.85  -1.00    0.00    0.77696563
 29.86  -1.00    0.01    0.78322210
 29.87  -1.00    0.02    0.78940026
 29.88  -1.00    0.03    0.79549947
 29.89  -1.00    0.04    0.80151914
 29.90  -1.00    0.05    0.80745866
 29.91  -1.00    0.06    0.81331743
 29.92  -1.00    0.07    0.81909487
 29.93  -1.00    0.08    0.82479040
 29.94  -1.00    0.09    0.83040345
 29.95  -0.99    0.10    0.83593346
 29.96  -0.99    0.11    0.84137988
 29.97  -0.99    0.12    0.84674217
 29.98  -0.99    0.13    0.85201978
 29.99  -0.99    0.14    0.85721218
 30.00  -0.99    0.15    0.86231887
 30.01  -0.99    0.16    0.86733933
 30.02  -0.98    0.17    0.87227305
 30.03  -0.98    0.18    0.87711955
 30.04  -0.98    0.19    0.88187833
 30.05  -0.98    0.20    0.88654893
 30.06  -0.98    0.21    0.89113088
 30.07  -0.97    0.22    0.89562371
 30.08  -0.97    0.23    0.90002698
 30.09  -0.97    0.24    0.90434025
 30.10  -0.97    0.25    0.90856308
 30.11  -0.97    0.26    0.91269506
 30.12  -0.96    0.27    0.91673577
 30.13  -0.96    0.28    0.92068481
 30.14  -0.96    0.29    0.92454178
 30.15  -0.95    0.30    0.92830630
 30.16  -0.95    0.31    0.93197798
 30.17  -0.95    0.32    0.93555647
 30.18  -0.94    0.33    0.93904141
 30.19  -0.94    0.34    0.94243244
 30.20  -0.94    0.35    0.94572923
 30.21  -0.93    0.36    0.94893145
 30.22  -0.93    0.37    0.95203877
 30.23  -0.93    0.38    0.95505089
 30.24  -0.92    0.38    0.95796751
 30.25  -0.92    0.39    0.96078833
 30.26  -0.92    0.40    0.96351307
 30.27  -0.91    0.41    0.96614147
 30.28  -0.91    0.42    0.96867325
 30.29  -0.90    0.43    0.97110816
 30.30  -0.90    0.44    0.97344596
 30.31  -0.89    0.45    0.97568642
 30.32  -0.89    0.46    0.97782931
 30.33  -0.88    0.47    0.97987442
 30.34  -0.88    0.47    0.98182155
 30.35  -0.88    0.48    0.98367049
 30.36  -0.87    0.49    0.98542106
 30.37  -0.87    0.50    0.98707310
 30.38  -0.86    0.51    0.98862642
 30.39  -0.86    0.52    0.99008089
 30.40  -0.85    0.53    0.99143635
 30.41  -0.84    0.54    0.99269266
 30.42  -0.84    0.54    0.99384971
 30.43  -0.83    0.55    0.99490737
 30.44  -0.83    0.56    0.99586554
 30.45  -0.82    0.57    0.99672413
 30.46  -0.82    0.58    0.99748305
 30.47  -0.81    0.58    0.99814222
 30.48  -0.81    0.59    0.99870157
 30.49  -0.80    0.60    0.99916106
 30.50  -0.79    0.61    0.99952063
 30.51  -0.79    0.62    0.99978024
 30.52  -0.78    0.62    0.99993989
 30.53  -0.77    0.63    0.99999953
 30.54  -0.77    0.64    0.99995918
 30.55  -0.76    0.65    0.99981884
 30.56  -0.76    0.66    0.99957851
 30.57  -0.75    0.66    0.99923823
 30.58  -0.74    0.67    0.99879802
 30.59  -0.74    0.68    0.99825794
 30.60  -0.73    0.69    0.99761802
 30.61  -0.72    0.69    0.99687835
 30.62  -0.71    0.70    0.99603899
 30.63  -0.71    0.71    0.99510003
 30.64  -0.70    0.71    0.99406156
 30.65  -0.69    0.72    0.99292369
 30.66  -0.69    0.73    0.99168652
 30.67  -0.68    0.73    0.99035018
 30.68  -0.67    0.74    0.98891481
 30.69  -0.66    0.75    0.98738055
 30.70  -0.66    0.75    0.98574755
 30.71  -0.65    0.76    0.98401598
 30.72  -0.64    0.77    0.98218601
 30.73  -0.63    0.77    0.98025782
 30.74  -0.63    0.78    0.97823161
 30.75  -0.62    0.79    0.97610757
 30.76  -0.61    0.79    0.97388592
 30.77  -0.60    0.80    0.97156689
 30.78  -0.59    0.80    0.96915069
 30.79  -0.59    0.81    0.96663759
 30.80  -0.58    0.82    0.96402782
 30.81  -0.57    0.82    0.96132165
 30.82  -0.56    0.83    0.95851935
 30.83  -0.55    0.83    0.95562120
 30.84  -0.54    0.84    0.95262748
 30.85  -0.54    0.84    0.94953851
 30.86  -0.53    0.85    0.94635458
 30.87  -0.52    0.85    0.94307601
 30.88  -0.51    0.86    0.93970314
 30.89  -0.50    0.86    0.93623630
 30.90  -0.49    0.87    0.93267584
 30.91  -0.48    0.87    0.92902211
 30.92  -0.48    0.88    0.92527548
 30.93  -0.47    0.88    0.92143632
 30.94  -0.46    0.89    0.91750502
 30.95  -0.45    0.89    0.91348197
 30.96  -0.44    0.90    0.90936757
 30.97  -0.43    0.90    0.90516224
 30.98  -0.42    0.91    0.90086639
 30.99  -0.41    0.91    0.89648045
 31.00  -0.40    0.91    0.89200487
 31.01  -0.39    0.92    0.88744009
 31.02  -0.39    0.92    0.88278656
 31.03  -0.38    0.93    0.87804476
 31.04  -0.37    0.93    0.87321515
 31.05  -0.36    0.93    0.86829822
 31.06  -0.35    0.94    0.86329447
 31.07  -0.34    0.94    0.85820438
 31.08  -0.33    0.94    0.85302847
 31.09  -0.32    0.95    0.84776727
 31.10  -0.31    0.95    0.84242128
 31.11  -0.30    0.95    0.83699106
 31.12  -0.29    0.96    0.83147713
 31.13  -0.28    0.96    0.82588006
 31.14  -0.27    0.96    0.82020040
 31.15  -0.26    0.96    0.81443873
 31.16  -0.25    0.97    0.80859561
 31.17  -0.24    0.97    0.80267163
 31.18  -0.23    0.97    0.79666738
 31.19  -0.22    0.97    0.79058347
 31.20  -0.21    0.98    0.78442050
 31.21  -0.20    0.98    0.77817909
 31.22  -0.19    0.98    0.77185986
 31.23  -0.18    0.98    0.76546345
 31.24  -0.18    0.98    0.75899049
 31.25  -0.17    0.99    0.75244163
 31.26  -0.16    0.99    0.74581753
 31.27  -0.15    0.99    0.73911885
 31.28  -0.14    0.99    0.73234625
